city_name,region_code,region_name,is_duplicate,aliases,phone_route_code
новоржев,north-western_fd,Северо-Западный ФО,0,,
устюжна,north-western_fd,Северо-Западный ФО,0,,
кондопога,north-western_fd,Северо-Западный ФО,0,,
колпино,north-western_fd,Северо-Западный ФО,0,,
балтийск,north-western_fd,Северо-Западный ФО,0,,
медвежьегорск,north-western_fd,Северо-Западный ФО,0,,
луга,north-western_fd,Северо-Западный ФО,0,,
суоярви,north-western_fd,Северо-Западный ФО,0,,
кириллов,north-western_fd,Северо-Западный ФО,0,,
красавино,north-western_fd,Северо-Западный ФО,0,,
онега,north-western_fd,Северо-Западный ФО,0,,
высоцк,north-western_fd,Северо-Западный ФО,0,,
кандалакша,north-western_fd,Северо-Западный ФО,0,,
гдов,north-western_fd,Северо-Западный ФО,0,,
харовск,north-western_fd,Северо-Западный ФО,0,,
олонец,north-western_fd,Северо-Западный ФО,0,,
подпорожье,north-western_fd,Северо-Западный ФО,0,,
пушкин,north-western_fd,Северо-Западный ФО,0,,
шенкурск,north-western_fd,Северо-Западный ФО,0,,
сегежа,north-western_fd,Северо-Западный ФО,0,,
вологда,north-western_fd,Северо-Западный ФО,0,,
отрадное,north-western_fd,Северо-Западный ФО,0,,
правдинск,north-western_fd,Северо-Западный ФО,0,,
холм,north-western_fd,Северо-Западный ФО,0,,
багратионовск,north-western_fd,Северо-Западный ФО,0,,
пикалёво,north-western_fd,Северо-Западный ФО,0,,
петрозаводск,north-western_fd,Северо-Западный ФО,0,,
черняховск,north-western_fd,Северо-Западный ФО,0,,
мамоново,north-western_fd,Северо-Западный ФО,0,,
каснознаменск,north-western_fd,Северо-Западный ФО,0,,
сокол,north-western_fd,Северо-Западный ФО,0,,
любань,north-western_fd,Северо-Западный ФО,0,,
санкт петербург,north-western_fd,Северо-Западный ФО,0,"[""питер"", ""ленинград"", ""спб""]",
астрахань,southern_fd,Южный ФО,0,,
череповец,north-western_fd,Северо-Западный ФО,0,,
питкяранта,north-western_fd,Северо-Западный ФО,0,,
беломорск,north-western_fd,Северо-Западный ФО,0,,
псков,north-western_fd,Северо-Западный ФО,0,,
опочка,north-western_fd,Северо-Западный ФО,0,,
выборг,north-western_fd,Северо-Западный ФО,0,,
мезень,north-western_fd,Северо-Западный ФО,0,,
светлогорск,north-western_fd,Северо-Западный ФО,0,,
кировск,north-western_fd,Северо-Западный ФО,0,,
никольское,north-western_fd,Северо-Западный ФО,0,,
няндома,north-western_fd,Северо-Западный ФО,0,,
приозёрск,north-western_fd,Северо-Западный ФО,0,,
остров,north-western_fd,Северо-Западный ФО,0,,
полярный,north-western_fd,Северо-Западный ФО,0,,
зеленоградск,north-western_fd,Северо-Западный ФО,0,,
кола,north-western_fd,Северо-Западный ФО,0,,
